time_step,unique_cells_visited,revisits,reward,total_reward
790,164,480,-0.5,-224.0
791,164,481,-0.5,-224.5
792,164,482,-0.5,-225.0
793,164,483,-0.5,-225.5
794,164,484,-0.5,-226.0
795,164,485,-0.5,-226.5
796,165,485,1.0,-225.5
797,165,486,-0.5,-226.0
798,165,487,-0.5,-226.5
799,165,488,-0.5,-227.0
800,165,489,-0.5,-227.5
801,165,490,-0.5,-228.0
802,165,491,-0.5,-228.5
803,165,491,-1.0,-229.5
804,165,492,-0.5,-230.0
805,165,493,-0.5,-230.5
806,165,494,-0.5,-231.0
807,165,495,-0.5,-231.5
808,165,496,-0.5,-232.0
809,166,496,1.0,-231.0
810,166,497,-0.5,-231.5
811,166,498,-0.5,-232.0
812,166,499,-0.5,-232.5
813,166,500,-0.5,-233.0
814,166,501,-0.5,-233.5
815,166,502,-0.5,-234.0
816,166,503,-0.5,-234.5
817,166,504,-0.5,-235.0
818,166,505,-0.5,-235.5
819,166,506,-0.5,-236.0
820,166,507,-0.5,-236.5
821,166,508,-0.5,-237.0
822,166,509,-0.5,-237.5
823,166,510,-0.5,-238.0
824,166,511,-0.5,-238.5
825,166,512,-0.5,-239.0
826,166,512,-1.0,-240.0
827,166,513,-0.5,-240.5
828,166,514,-0.5,-241.0
829,166,514,-1.0,-242.0
830,166,514,-1.0,-243.0
831,166,514,-1.0,-244.0
832,166,515,-0.5,-244.5
833,166,516,-0.5,-245.0
834,166,517,-0.5,-245.5
835,167,517,1.0,-244.5
836,167,518,-0.5,-245.0
837,167,519,-0.5,-245.5
838,167,520,-0.5,-246.0
839,167,521,-0.5,-246.5
840,167,522,-0.5,-247.0
841,167,523,-0.5,-247.5
842,167,524,-0.5,-248.0
843,167,525,-0.5,-248.5
844,167,526,-0.5,-249.0
845,167,527,-0.5,-249.5
846,167,528,-0.5,-250.0
847,167,529,-0.5,-250.5
848,168,529,1.0,-249.5
849,168,530,-0.5,-250.0
850,168,531,-0.5,-250.5
851,168,532,-0.5,-251.0
852,168,533,-0.5,-251.5
853,168,533,-1.0,-252.5
854,168,534,-0.5,-253.0
855,168,535,-0.5,-253.5
856,168,536,-0.5,-254.0
857,168,537,-0.5,-254.5
858,169,537,1.0,-253.5
859,169,538,-0.5,-254.0
860,169,539,-0.5,-254.5
861,169,540,-0.5,-255.0
862,169,541,-0.5,-255.5
863,169,541,-1.0,-256.5
864,169,541,-1.0,-257.5
865,169,542,-0.5,-258.0
866,169,543,-0.5,-258.5
867,169,544,-0.5,-259.0
868,169,545,-0.5,-259.5
869,169,545,-1.0,-260.5
870,169,546,-0.5,-261.0
871,169,547,-0.5,-261.5
872,169,548,-0.5,-262.0
873,169,549,-0.5,-262.5
874,169,550,-0.5,-263.0
875,169,551,-0.5,-263.5
876,169,552,-0.5,-264.0
